StNo,Station,Passgrs,Latit,Longit,RailCo,Line
1,あざみ野,209875,35.56846,139.55387,東京急行電鉄,田園都市線
2,お台場海浜公園,16130,35.629805000000005,139.77853,ゆりかもめ,東京臨海新交通臨海線
3,お花茶屋,30429,35.747614999999996,139.83988499999998,京成電鉄,本線
4,くぬぎ山,7098,35.78233,139.975675,新京成電鉄,新京成線
5,さいたま新都心,80502,35.893595,139.63389999999998,東日本旅客鉄道,東北線
6,せんげん台,60821,35.935955,139.774595,東武鉄道,伊勢崎線
7,たまプラーザ,75967,35.577569999999994,139.559195,東京急行電鉄,田園都市線
8,つつじヶ丘,44675,35.658,139.57519000000002,京王電鉄,京王線
9,とうきょうスカイツリー,0,35.710465,139.809395,東武鉄道,伊勢崎線
10,はるひ野,8067,35.618915,139.46443,小田急電鉄,多摩線
11,ひばりヶ丘,67456,35.7517,139.54511000000002,西武鉄道,池袋線
12,みずほ台,40451,35.8382,139.550785,東武鉄道,東上本線
13,みつわ台,3295,35.638724999999994,140.13488999999998,千葉都市モノレール,2号線
14,みどり台,6608,35.625295,140.097325,京成電鉄,千葉線
15,みなとみらい,65188,35.457674999999995,139.63246,横浜高速鉄道,みなとみらい21線
16,みのり台,8109,35.789345,139.928785,新京成電鉄,新京成線
17,スポーツセンター,4798,35.64334,140.116245,千葉都市モノレール,2号線
18,センター北,48070,35.553105,139.5782775,横浜市,4号線
19,センター南,50755,35.5453825,139.5744625,横浜市,4号線
20,テレコムセンター,12775,35.617725,139.77966500000002,ゆりかもめ,東京臨海新交通臨海線
21,ベイサイド･ステーション,15663,35.627855,139.87634500000001,舞浜リゾートライン,ディズニーリゾートライン
22,モノレール浜松町,107992,35.655745,139.75666999999999,東京モノレール,東京モノレール羽田線
23,リゾートゲートウェイ･ステーション,31424,35.63511,139.88495,舞浜リゾートライン,ディズニーリゾートライン
24,一ノ割,18311,35.964875,139.76603999999998,東武鉄道,伊勢崎線
25,一之江,37951,35.68594,139.88289,東京都,10号線新宿線
26,一橋学園,20151,35.722105,139.480065,西武鉄道,多摩湖線
27,七光台,5811,35.97085,139.85295000000002,東武鉄道,野田線
28,七里,20610,35.936490000000006,139.66601,東武鉄道,野田線
29,万願寺,3702,35.671315,139.41986,多摩都市モノレール,多摩都市モノレール線
30,三ツ沢上町,14812,35.476425,139.60587,横浜市,3号線
31,三ツ沢下町,11473,35.476485,139.61521499999998,横浜市,3号線
32,三ノ輪,35764,35.729285000000004,139.791165,東京地下鉄,2号線日比谷線
33,三ノ輪橋,4357,35.73222,139.791505,東京都,荒川線
34,三咲,12536,35.749179999999996,140.02854,新京成電鉄,新京成線
35,三河島,19526,35.733414999999994,139.776845,東日本旅客鉄道,常磐線
36,三越前,117018,35.68592,139.7729875,東京地下鉄,11号線半蔵門線
37,三軒茶屋,152232,35.64349,139.66987749999998,東京急行電鉄,田園都市線
38,三郷中央,19700,35.824484999999996,139.87837000000002,首都圏新都市鉄道,常磐新線
39,三鷹,178590,35.702685,139.560085,東日本旅客鉄道,中央線
40,三鷹台,22533,35.692049999999995,139.589295,京王電鉄,井の頭線
41,上中里,13966,35.747344999999996,139.74544500000002,東日本旅客鉄道,東北線
42,上井草,19707,35.725255,139.602955,西武鉄道,新宿線
43,上北沢,14162,35.668845000000005,139.623415,京王電鉄,京王線
44,上星川,23884,35.467330000000004,139.580435,相模鉄道,本線
45,上本郷,6909,35.78938,139.91583500000002,新京成電鉄,新京成線
46,上板橋,49164,35.763615,139.67620499999998,東武鉄道,東上本線
47,上町,11184,35.64345,139.64654000000002,東京急行電鉄,世田谷線
48,上石神井,43091,35.726195000000004,139.59229,西武鉄道,新宿線
49,上野,562173,35.71302714285714,139.77659857142856,東日本旅客鉄道,東北線
50,上野動物園東園,0,35.71588,139.76999999999998,東京都,上野懸垂線
51,上野動物園西園,0,35.714315,139.76969000000003,東京都,上野懸垂線
52,上野広小路,22280,35.70782,139.773025,東京地下鉄,3号線銀座線
53,上野御徒町,52296,35.708034999999995,139.77229499999999,東京都,12号線大江戸線
54,上野毛,21273,35.61186,139.639165,東京急行電鉄,大井町線
55,下丸子,36608,35.571325,139.68549000000002,東京急行電鉄,東急多摩川線
56,下井草,23388,35.723870000000005,139.624735,西武鉄道,新宿線
57,下北沢,268908,35.661525,139.6669575,小田急電鉄,小田原線
58,下板橋,15009,35.74539,139.71519,東武鉄道,東上本線
59,下神明,7515,35.60871,139.72631,東京急行電鉄,大井町線
60,下総中山,45770,35.714285000000004,139.94307,東日本旅客鉄道,総武線
61,下落合,10843,35.715715,139.69568,西武鉄道,新宿線
62,下赤塚,17418,35.770485,139.64485000000002,東武鉄道,東上本線
63,下高井戸,72262,35.6660275,139.64133250000003,東京急行電鉄,世田谷線
64,不動前,28519,35.62529,139.712915,東京急行電鉄,目黒線
65,与野,48598,35.884375,139.63899,東日本旅客鉄道,東北線
66,与野本町,27768,35.880925000000005,139.626005,東日本旅客鉄道,東北線（埼京線）
67,世田谷,7334,35.643495,139.65084000000002,東京急行電鉄,世田谷線
68,世田谷代田,8289,35.658355,139.66160000000002,小田急電鉄,小田原線
69,両国,103664,35.696484999999996,139.79537249999998,東日本旅客鉄道,総武線
70,中井,49967,35.7144675,139.6864775,東京都,12号線大江戸線
71,中央大学・明星大学,16505,35.641885,139.408725,多摩都市モノレール,多摩都市モノレール線
72,中延,47043,35.605447500000004,139.71307000000002,東京都,1号線浅草線
73,中村橋,37689,35.736670000000004,139.63717,西武鉄道,池袋線
74,中板橋,26527,35.756280000000004,139.694385,東武鉄道,東上本線
75,中河原,25186,35.65942,139.457015,京王電鉄,京王線
76,中浦和,24222,35.85434,139.6369,東日本旅客鉄道,東北線（埼京線）
77,中目黒,190774,35.64383,139.698505,東京地下鉄,2号線日比谷線
78,中野坂上,100262,35.69734833333333,139.68245666666667,東京都,12号線大江戸線
79,中野富士見町,17575,35.69082,139.668155,東京地下鉄,4号線丸ノ内線分岐線
80,中野島,28488,35.63002,139.55107500000003,東日本旅客鉄道,南武線
81,中野新橋,18040,35.691919999999996,139.67432,東京地下鉄,4号線丸ノ内線分岐線
82,乃木坂,38336,35.6671,139.726795,東京地下鉄,9号線千代田線
83,久が原,14430,35.579454999999996,139.68567000000002,東京急行電鉄,池上線
84,久地,26340,35.610105000000004,139.593075,東日本旅客鉄道,南武線
85,久我山,37511,35.688140000000004,139.59932500000002,京王電鉄,井の頭線
86,久米川,32325,35.749525000000006,139.472695,西武鉄道,新宿線
87,九品仏,12747,35.605375,139.66101,東京急行電鉄,大井町線
88,九段下,230111,35.69601,139.75154166666667,東京都,10号線新宿線
89,亀戸,136995,35.697517500000004,139.8263775,東武鉄道,亀戸線
90,亀戸水神,3848,35.699945,139.83339,東武鉄道,亀戸線
91,亀有,77976,35.766765,139.84807999999998,東日本旅客鉄道,常磐線
92,二俣新町,9660,35.69132,139.959555,東日本旅客鉄道,京葉線
93,二和向台,18147,35.753885,140.02373,新京成電鉄,新京成線
94,二子新地,19145,35.60696,139.62234999999998,東京急行電鉄,田園都市線
95,二子玉川,123911,35.610485,139.6256,東京急行電鉄,田園都市線
96,二重橋前,32067,35.680505,139.76178,東京地下鉄,9号線千代田線
97,五反田,423993,35.62578166666667,139.724155,東日本旅客鉄道,山手線
98,五反野,34087,35.765905000000004,139.80963,東武鉄道,伊勢崎線
99,五月台,10128,35.600229999999996,139.493385,小田急電鉄,多摩線
100,五香,30546,35.797285,139.96577000000002,新京成電鉄,新京成線
101,井の頭公園,6754,35.697295,139.58312,京王電鉄,井の頭線
102,井土ヶ谷,27082,35.433875,139.600525,京浜急行電鉄,本線
103,井荻,19456,35.724645,139.615995,西武鉄道,新宿線
104,京急川崎,114311,35.533010000000004,139.70094,京浜急行電鉄,本線
105,京急新子安,7964,35.48721999999999,139.65585,京浜急行電鉄,本線
106,京急蒲田,47473,35.56049166666667,139.72346666666667,京浜急行電鉄,本線
107,京急鶴見,28196,35.50705,139.67792,京浜急行電鉄,本線
108,京成上野,44002,35.71131,139.77351,京成電鉄,本線
109,京成中山,3628,35.71695,139.94438,京成電鉄,本線
110,京成八幡,31336,35.72386,139.92817,京成電鉄,本線
111,京成大久保,31888,35.685925,140.048605,京成電鉄,本線
112,京成大和田,12106,35.712360000000004,140.10863,京成電鉄,本線
113,京成小岩,16614,35.742215,139.883615,京成電鉄,本線
114,京成幕張,7802,35.660905,140.055805,京成電鉄,千葉線
115,京成幕張本郷,12708,35.672920000000005,140.041675,京成電鉄,千葉線
116,京成曳舟,18183,35.71864,139.82028,京成電鉄,押上線
117,京成津田沼,54144,35.68364,140.024845,新京成電鉄,新京成線
118,京成稲毛,6214,35.637249999999995,140.08571,京成電鉄,千葉線
119,京成立石,36174,35.73819,139.84816,京成電鉄,押上線
120,京成船橋,92145,35.700135,139.98547,京成電鉄,本線
121,京成西船,9181,35.711690000000004,139.958845,京成電鉄,本線
122,京成金町,23735,35.76845,139.87034999999997,京成電鉄,金町線
